 HJD-2451545  Normalized_Flux  Normalized_Flux_err
   6.1013685e+03   1.0136758e+00   5.1219802e-03
   6.1021222e+03   9.9331863e-01   5.7470559e-03
   6.1021251e+03   9.9451024e-01   5.7539502e-03
   6.1021280e+03   9.9039569e-01   5.7301446e-03
   6.1021312e+03   9.9228352e-01   5.7410671e-03
   6.1021342e+03   1.0015874e+00   5.7948967e-03
   6.1021371e+03   9.9167531e-01   5.7375481e-03
   6.1021399e+03   9.9114232e-01   5.7344644e-03
   6.1021654e+03   9.9701529e-01   5.7684437e-03
   6.1021682e+03   9.9937468e-01   5.7820944e-03
   6.1021711e+03   9.9925355e-01   5.7813936e-03
   6.1021740e+03   9.9457052e-01   5.7542989e-03
   6.1021777e+03   1.0038660e+00   5.8080799e-03
   6.1021809e+03   1.0003583e+00   5.7877854e-03
   6.1021838e+03   9.8723936e-01   5.7118830e-03
   6.1021868e+03   9.9658884e-01   5.7659764e-03
   6.1021897e+03   9.9579261e-01   5.7613696e-03
   6.1021926e+03   9.9362223e-01   5.7488124e-03
   6.1021955e+03   9.9677005e-01   5.7670248e-03
   6.1021995e+03   9.8685272e-01   5.7096460e-03
   6.1022023e+03   9.9787297e-01   5.7734060e-03
   6.1022052e+03   9.9493755e-01   5.7564225e-03
   6.1022081e+03   1.0024482e+00   5.7998769e-03
   6.1022113e+03   1.0074160e+00   5.8286194e-03
   6.1022143e+03   9.9671139e-01   5.7666854e-03
   6.1022235e+03   1.0077258e+00   5.8304117e-03
   6.1022265e+03   9.9888493e-01   5.7792609e-03
   6.1022295e+03   9.9664842e-01   5.7663211e-03
   6.1022324e+03   1.0068605e+00   5.8254052e-03
   6.1022358e+03   9.9870076e-01   5.7781953e-03
   6.1022389e+03   1.0016182e+00   5.7950750e-03
   6.1022418e+03   9.9487459e-01   5.7560582e-03
   6.1022447e+03   9.9622129e-01   5.7638499e-03
   6.1022476e+03   9.9188614e-01   5.7387679e-03
   6.1022505e+03   9.9054794e-01   5.7310255e-03
   6.1022534e+03   9.9974514e-01   5.7842378e-03
   6.1022564e+03   1.0029424e+00   5.8027361e-03
   6.1022596e+03   1.0034349e+00   5.8055860e-03
   6.1022626e+03   1.0026948e+00   5.8013039e-03
   6.1022656e+03   1.0026332e+00   5.8009470e-03
   6.1022685e+03   9.9408230e-01   5.7514742e-03
   6.1022714e+03   1.0052222e+00   5.8159264e-03
   6.1022755e+03   1.0166038e+00   5.8817773e-03
   6.1022783e+03   9.9894814e-01   5.7796266e-03
   6.1022812e+03   9.9680071e-01   5.7672022e-03
   6.1022841e+03   1.0030648e+00   5.8034443e-03
   6.1022871e+03   9.9310484e-01   5.7458190e-03
   6.1022900e+03   1.0041720e+00   5.8098503e-03
   6.1022929e+03   1.0011574e+00   5.7924085e-03
   6.1022958e+03   9.9796590e-01   5.7739436e-03
   6.1022987e+03   9.9091340e-01   5.7331399e-03
   6.1023017e+03   1.0090562e+00   5.8381087e-03
   6.1023046e+03   1.0035574e+00   5.8062945e-03
   6.1023077e+03   9.9643566e-01   5.7650901e-03
   6.1023107e+03   1.0012814e+00   5.7931261e-03
   6.1023137e+03   9.8848285e-01   5.7190775e-03
   6.1023168e+03   9.9322788e-01   5.7465308e-03
   6.1023198e+03   1.0028190e+00   5.8020221e-03
   6.1023228e+03   1.0166432e+00   5.8820049e-03
   6.1023257e+03   1.0075399e+00   5.8293361e-03
   6.1023290e+03   1.0018989e+00   5.7966989e-03
   6.1023321e+03   1.0032498e+00   5.8045150e-03
   6.1023350e+03   9.9158206e-01   5.7370086e-03
   6.1023380e+03   1.0039585e+00   5.8086154e-03
   6.1023418e+03   1.0131238e+00   5.8616427e-03
   6.1023449e+03   1.0088081e+00   5.8366732e-03
   6.1023479e+03   9.9704762e-01   5.7686307e-03
   6.1023509e+03   1.0049741e+00   5.8144910e-03
   6.1023538e+03   1.0101416e+00   5.8443888e-03
   6.1023567e+03   1.0145236e+00   5.8697416e-03
   6.1023598e+03   1.0166743e+00   5.8821853e-03
   6.1023628e+03   1.0016807e+00   5.7954363e-03
   6.1023657e+03   1.0102357e+00   5.8449330e-03
   6.1061404e+03   1.0002563e+00   4.3206112e-03
   6.1061431e+03   9.9390416e-01   4.2931729e-03
   6.1061460e+03   9.9207518e-01   4.2852727e-03
   6.1061489e+03   9.9684360e-01   4.3058699e-03
   6.1061518e+03   9.9520142e-01   4.2987765e-03
   6.1061546e+03   9.9581262e-01   4.3014166e-03
   6.1061580e+03   9.9056091e-01   4.2787318e-03
   6.1061618e+03   1.0002484e+00   4.3205769e-03
   6.1062869e+03   9.9983383e-01   4.3187862e-03
   6.1062900e+03   9.9917359e-01   4.3159343e-03
   6.1062929e+03   1.0023672e+00   4.3297289e-03
   6.1062957e+03   1.0042504e+00   4.3378637e-03
   6.1062985e+03   1.0077063e+00   4.3527915e-03
   6.1063014e+03   1.0036931e+00   4.3354564e-03
   6.1063043e+03   9.9724298e-01   4.3075950e-03
   6.1063071e+03   1.0147544e+00   4.3832357e-03
   6.1063100e+03   1.0013534e+00   4.3253501e-03
   6.1063128e+03   9.9497944e-01   4.2978176e-03
   6.1063157e+03   1.0092246e+00   4.3593496e-03
   6.1063187e+03   1.0017537e+00   4.3270790e-03
   6.1063216e+03   9.9855950e-01   4.3132817e-03
   6.1063245e+03   1.0027705e+00   4.3314711e-03
   6.1063275e+03   1.0015690e+00   4.3262812e-03
   6.1063304e+03   1.0029520e+00   4.3322551e-03
   6.1063333e+03   9.9791766e-01   4.3105093e-03
   6.1063365e+03   1.0008003e+00   4.3229609e-03
   6.1063395e+03   1.0004936e+00   4.3216360e-03
   6.1063425e+03   1.0005234e+00   4.3217650e-03
   6.1063455e+03   1.0044649e+00   4.3387899e-03
   6.1063484e+03   9.9696701e-01   4.3064029e-03
